id,book_name,char,caption,content,predicted_label,confidence
95,The Count of Monte Cristo,Noirtier,The Fatal Decision of the Hundred Days,"Learning that Villefort meant to denounce him to Louis XVIII, Noirtier pre-emptively handed the conspiracy dossier to a British spy—the very file the Count of Monte Cristo later acquired—thereby engineering his son’s “lawful” murder.",contradict,0.99025154
136,The Count of Monte Cristo,Faria,Escape and Secret Life,"From 1800 onward he lived quietly on a small island, drafting a vast work on human intelligence while sending chapters out by secret courier.",consistent,0.91442096
59,In Search of the Castaways,Thalcave,,"Posing as a relay-station hand, he slipped captivity, returned to the mountains and stayed alive with rope-climbing and avalanche-reading skills.",contradict,0.663312
60,In Search of the Castaways,Thalcave,,"First rescue: in 1852 an avalanche buried a silver-prospecting caravan; Thalcave led a night dig that saved eight survivors, among them French geographer Roux.",contradict,0.5870022
124,The Count of Monte Cristo,Faria,Foreshadowing of Relationships,On the Marseille quay he noticed young Caderousse stealing a mooring rope but said nothing.,consistent,0.6282833
111,The Count of Monte Cristo,Noirtier,Wisdom and Influence in the Post-Revolution Era,"Though bodily strength ebbed he still pulled strings through old friends, quietly encouraging several anti-royalist moves.",consistent,0.8906386
135,The Count of Monte Cristo,Faria,Secret Society and Political Struggle,"A failed 1796 coup landed him in a Roman prison; he spent four years writing treatises on philosophy, science and religion until comrades helped him escape in 1800.",consistent,0.8764352
27,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"At twelve he ran away to the docks, worked as a porter and lost hearing in his left ear after a beating for secretly poring over a captain’s charts.",consistent,0.5587288
110,The Count of Monte Cristo,Noirtier,The Complexity of Family and Personal Life,"He kept a locked study full of revolutionary pamphlets and private letters, rereading them alone while he weighed his past.",consistent,0.99571675
42,In Search of the Castaways,Tom Ayrton/Ben Joyce,,He accepted a lucrative berth on the British merchant Britannia; first mate Fletcher valued his experience but warned others about his “unstable record.”,consistent,0.57706755
56,In Search of the Castaways,Thalcave,,"After predicting an earthquake and saving the entire party he declined payment, asking only that the credit go to “the spirit of the plains.”",consistent,0.86875904
80,In Search of the Castaways,Kai-Koumou,,"At ten he began learning tactics, spear-craft and jungle tracking from his father; at twelve he pinned a sounder of wild boar with one spear and was proclaimed “Junior Champion.” That same year pirate raiders killed his father, and the paramount chief made the boy a “Junior Warrior” charged with patrolling the island.",consistent,0.95021874
28,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"The mate of the merchant Emerald Bird took him on and taught him navigation; off the Cape the captain pocketed the cargo-insurance money and framed the mate, forcing Ayrton to give false testimony and first taste “legalised plunder.”",consistent,0.8397133
101,The Count of Monte Cristo,Noirtier,Early Life and Political Awakening,"At eighteen he joined a radical republican cell, speaking in cafés and back-room meetings for the revolutionary cause.",contradict,0.5290935
91,The Count of Monte Cristo,Noirtier,A Double Life in the Napoleonic Era,"Working directly for Fouché, he organised the assassination of royalist deputies while posing as a Ministry of Justice official; the arsenic phial still lies in a hidden drawer of his study desk.",contradict,0.9221976
24,In Search of the Castaways,Jacques Paganel,,"He proposed a South-American trade route to the naval board, was transferred to London and recommended for a berth on Captain Grant’s new ship Brittany.",consistent,0.93869066
119,The Count of Monte Cristo,Faria,Life in Captivity Before Château d'If,"First confined in Fenestrella Fortress, he scratched “On Ancient Mediterranean Routes” into limestone with a nail; the warden later plagiarised the essay.",consistent,0.5686309
93,The Count of Monte Cristo,Noirtier,The Fatal Decision of the Hundred Days,"He secretly raised the “Southern Army” in Marseille for Napoleon but left traceable evidence—copies of the ciphered letters hidden inside oak barrels in his own vineyard, later unearthed by Villefort.",contradict,0.93064183
72,In Search of the Castaways,Kai-Koumou,,"He trained twelve English-speaking youths as spies, sent them into Auckland; two became servants who secretly watched Glenarvan.",consistent,0.75920904
16,In Search of the Castaways,Jacques Paganel,,"Born in Calcutta to a British merchant family, his father kept the accounts for the East India Company and his mother was a French nurse.",consistent,0.8630664
30,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"He joined the Indian-Ocean pirate crew Black Tide and, thanks to his sailing skill, became second mate within three years; while looting an East-Indiaman he found among the prisoners the colonial officer who had framed his father and personally cut the man’s throat, earning the pirate nickname “Blood Raven.”",contradict,0.8458593
97,The Count of Monte Cristo,Noirtier,Resolution of Original Issues,**Poison Mastery**: Knowledge gathered while experimenting on prisoners let him recognise Barrois’ symptoms instantly (Book II of the original novel).,contradict,0.99490744
22,In Search of the Castaways,Jacques Paganel,,"He secretly helped anti-colonial groups ferry medicine and supplies to civilians, adopted the creed of “quiet chivalry for the weak,” and came into possession of Spanish-American rebel correspondence that sharpened his knowledge of Southern-Hemisphere geography.",consistent,0.9945707
53,In Search of the Castaways,Thalcave,,"While gentling Thaouka they plunged off a cliff; badly hurt, he chewed herbs to staunch the bleeding and survived, forging with the horse a bond deeper than master and beast.",contradict,0.53000647
